subjectCode,subjectFullName
AAAS,African and African American Studies
ANTH,Anthropology and Archaeology
APMA,Applied Mathematics
ARAB,Arabic
ASTR,Astronomy
BIOS,Biological Sciences
BIOT,Biotechnology
CGRK,Greek
CHEM,Chemistry
CLAS,Classics
CREA,Creative Writing
CSCI,Computer Science
DEVP,Development Practice
DGMD,Digital Media
DRAM,Dramatic Arts
ECON,Economics
EDUC,Education
ENGL,English
ENSC,Engineering Sciences
ENVR,Environmental Studies
EXPO,Expository Writing
FOLK,Folklore and Mythology
FREN,French Language and Literature
GERM,German
GOVT,Government
HARC,History of Art and Architecture
HIST,History
HUMA,Humanities
IORP,Institutional/Organizational Psychology
ISMT,Information Systems Management
ITAL,Italian
JAPA,Japanese
JOUR,Journalism
LATI,Latin
LING,Linguistics
LSTU,Legal Studies
MATH,Mathematics
MGMT,Management
MUSE,Museum Studies
MUSI,Music
NUTR,Nutrition
PHIL,Philosophy
PHYS,Physics
PSYC,Psychology
RELI,Religion
SOCI,Sociology
SPAN,Spanish Language and Literature
SPCH,Speech
SSCI,Social Sciences
STAR,Studio Arts and Film
STAT,Statistics
